acquired,parcel,handle,owner,address
city,23290000900,12329000090,NORTHSIDE REGENERATION LLC,2215-2219 Madison St.
city,23290001000,12329000100,NORTHSIDE REGENERATION LLC,2213 Madison St.
city,23290001100,12329000110,NORTHSIDE REGENERATION LLC,2211 Madison St.
city,23290001360,12329000136,NORTHSIDE REGENERATIONN LLC,2201-2203 Madison St.
city,23290001900,12329000190,NORTHSIDE REGENERATION LLC,1804-1812 N. 23Rd St.
city,23460001500,12346000150,NORTHSIDE REGENERATION LLC,2306-2308 North Market St.
city,23460001600,12346000160,NORTHSIDE REGENERATION LLC,2300-2304 North Market St.
city,23460001900,12346000190,NORTHSIDE REGENERATION LLC,2315-2319 Maiden La.
city,23460002000,12346000200,NORTHSIDE REGENERATION LLC,2321-2327 Maiden La.
city,23460002500,12346000250,NORTHSIDE REGENERATION LLC,2333 Maiden La.
city,23460002600,12346000260,NORTHSIDE REGENERATION LLC,2337 Maiden La.
city,23460002700,12346000270,NORTHSIDE REGENERATION LLC,2339 Maiden La.
tax,10790001000,11079000100,NORTHSIDE REGENERATION LLC,2524 Montgomery St.
tax,10790001700,11079000170,NORTHSIDE REGENERATION LLC,2500-2506 Montgomery St.
tax,10790002100,11079000210,NORTHSIDE REGENERATION LLC,2523 Warren St.
tax,10790002600,11079000260,NORTHSIDE REGENERATION LLC,2535 Warren St.
tax,10790002700,11079000270,NORTHSIDE REGENERATION LLC,2539 Warren St.
tax,10790002900,11079000290,NORTHSIDE REGENERATION LLC,2543 Warren St.
tax,10790003000,11079000300,NORTHSIDE REGENERATION LLC,2545 Warren St.
tax,10800000100,11080000010,NORTHSIDE REGENERATION LLC,2548 Warren St.
tax,10800000200,11080000020,NORTHSIDE REGENERATION LLC,2544 Warren St.
tax,10800000500,11080000050,NORTHSIDE REGENERATION LLC,2534 Warren St.
tax,10800000600,11080000060,NORTHSIDE REGENERATION LLC,2530 Warren St.
tax,10800000700,11080000070,NORTHSIDE REGENERATION LLC,2528 Warren St.
tax,10800002100,11080000210,NORTHSIDE REGENERATION LLC,2519 Benton St.
tax,10800002600,11080000260,NORTHSIDE REGENERATION LLC,2535 Benton St.
tax,10800002700,11080000270,NORTHSIDE REGENERATION LLC,2537 Benton St.
tax,10800002900,11080000290,NORTHSIDE REGENERATION LLC,2541 Benton St.
tax,10810001700,11081000170,NORTHSIDE REGENERATION LLC,2507 North Market St.
tax,10810002100,11081000210,NORTHSIDE REGENERATION LLC,2517 North Market St.
tax,10810002600,11081000260,NORTHSIDE REGENERATION LLC,2537-2539 North Market St.
tax,10840000900,11084000090,NORTHSIDE REGENERATION LLC,2322 Montgomery St.
tax,10840002800,11084000280,NORTHSIDE REGENERATION LLC,2331 Warren St.
tax,10850001400,11085000140,NORTHSIDE REGENERATION LLC,2307 Montgomery St.
tax,10850001700,11085000170,NORTHSIDE REGENERATION LLC,2313 Montgomery St.
tax,10850001800,11085000180,NORTHSIDE REGENERATION LLC,2317 Montgomery St.
tax,10850001900,11085000190,NORTHSIDE REGENERATION LLC,2319 Montgomery St.
tax,10850002000,11085000200,NORTHSIDE REGENERATION LLC,2321 Montgomery St.
tax,10850002300,11085000230,NORTHSIDE REGENERATION LLC,2329-2333 Montgomery St.
tax,10850002500,11085000250,NORTHSIDE REGENERATION LLC,2337 Montgomery St.
tax,10930000150,11093000015,NORTHSIDE REGENERATION LLC,2244 Montgomery St.
tax,10930000400,11093000040,NORTHSIDE REGENERATION LLC,2238 Montgomery St.
tax,10930001100,11093000110,NORTHSIDE REGENERATION LLC,2218 Montgomery St.
tax,10930003000,11093000300,NORTHSIDE REGENERATION LLC,2239 Warren St.
